date,equity,cash,n_positions
2023-01-16,9170661,0,10
2023-01-17,9143357,0,10
2023-01-30,9551920,0,10
2023-01-31,9383623,0,10
2023-02-01,9554124,0,10
2023-02-02,9781122,0,10
2023-02-03,9774967,0,10
2023-02-06,9571238,0,10
2023-02-07,9576649,0,10
2023-02-08,9762992,0,10
2023-02-09,9760279,0,10
2023-02-10,9671114,0,10
2023-02-13,9604783,0,10
2023-02-14,9621265,0,10
2023-02-15,9616975,0,10
2023-02-16,9718971,0,10
2023-02-17,9644921,0,10
2023-02-20,9657499,0,10
2023-02-21,9705582,0,10
2023-02-22,9532741,0,10
2023-02-23,9742459,0,10
2023-02-24,9565755,0,10
2023-03-01,9764622,0,10
2023-03-02,9723673,0,10
2023-03-03,9789265,0,10
2023-03-06,9908342,0,10
2023-03-07,9945118,0,10
2023-03-08,10032423,0,10
2023-03-09,10004744,0,10
2023-03-10,9779806,0,10
2023-03-13,9809098,0,10
2023-03-14,9701191,0,10
2023-03-15,9717910,0,10
2023-03-16,9704361,0,10
2023-03-17,9952916,0,10
2023-03-20,10005372,0,10
2023-03-21,10085920,0,10
2023-03-22,10215519,0,10
2023-03-23,10380614,0,10
2023-03-24,10425015,0,10
2023-03-27,10343514,0,10
2023-03-28,10169851,0,10
2023-03-29,10173647,0,10
2023-03-30,10326685,0,10
2023-03-31,10430944,0,10
2023-04-06,10334276,0,10
2023-04-07,10407299,0,10
2023-04-10,10398813,0,10
2023-04-11,10468008,0,10
2023-04-12,10458283,0,10
2023-04-13,10250031,0,10
2023-04-14,10333485,0,10
2023-04-17,10283856,0,10
2023-04-18,10151570,0,10
2023-04-19,10025491,0,10
2023-04-20,10025733,0,10
2023-04-21,9902558,0,10
2023-04-24,9929889,0,10
2023-04-25,9662546,0,10
2023-04-26,9733632,0,10
2023-04-27,9839352,0,10
2023-04-28,10026999,0,10
2023-05-02,10064939,0,10
2023-05-03,10037820,0,10
2023-05-04,10114450,0,10
2023-05-05,10163354,0,10
2023-05-08,10190064,0,10
2023-05-09,10177009,0,10
2023-05-10,10162724,0,10
2023-05-11,10064073,0,10
2023-05-12,10179723,0,10
2023-05-15,10155772,0,10
2023-05-16,10318473,0,10
2023-05-17,10548020,0,10
2023-05-18,10673490,0,10
2023-05-19,10855055,0,10
2023-05-22,10793192,0,10
2023-05-23,10907390,0,10
2023-05-24,10859469,0,10
2023-05-25,11050314,0,10
2023-05-26,11326400,0,10
2023-05-29,11519926,0,10
2023-05-30,11596128,0,10
2023-05-31,11651504,0,10
2023-06-01,11572921,0,10
2023-06-02,11629154,0,10
2023-06-05,11580303,0,10
2023-06-06,11644711,0,10
2023-06-07,11756224,0,10
2023-06-08,11501761,0,10
2023-06-09,11710793,0,10
2023-06-12,11778102,0,10
2023-06-13,12266941,0,10
2023-06-14,12237109,0,10
2023-06-15,12353540,0,10
2023-06-16,12389793,0,10
2023-06-19,12376755,0,10
2023-06-20,12216892,0,10
2023-06-21,12140811,0,10
2023-06-26,12073637,0,10
2023-06-27,11890929,0,10
2023-06-28,11869865,0,10
2023-06-29,12089768,0,10
2023-06-30,12081109,0,10
2023-07-03,12418415,0,10
2023-07-04,12642400,0,10
2023-07-05,12501932,0,10
2023-07-06,12353717,0,10
2023-07-07,12237721,0,10
2023-07-10,12157866,0,10
2023-07-11,12307385,0,10
2023-07-12,12490626,0,10
2023-07-13,12575844,0,10
2023-07-14,12994108,0,10
2023-07-17,13052704,0,10
2023-07-18,13100460,0,10
2023-07-19,13238030,0,10
2023-07-20,13113024,0,10
2023-07-21,13085601,0,10
2023-07-24,12947807,0,10
2023-07-25,12991738,0,10
2023-07-26,12885605,0,10
2023-07-27,12831282,0,10
2023-07-28,13087700,0,10
2023-07-31,12721768,0,10
2023-08-01,12726634,0,10
2023-08-02,12324752,0,10
2023-08-04,12246133,0,10
2023-08-07,12666794,0,10
2023-08-08,12567662,0,10
2023-08-09,12583629,0,10
2023-08-10,12141669,0,10
2023-08-11,12134754,0,10
2023-08-14,11919267,0,10
2023-08-15,12176261,0,10
2023-08-16,12157460,0,10
2023-08-17,12308863,0,10
2023-08-18,12080936,0,10
2023-08-21,12197107,0,10
2023-08-22,12498390,0,10
2023-08-23,12728809,0,10
2023-08-24,13131259,0,10
2023-08-25,12978403,0,10
2023-08-28,12892331,0,10
2023-08-29,13010613,0,10
2023-08-30,13166261,0,10
2023-08-31,13126910,0,10
2023-09-01,13038480,0,10
2023-09-04,13177608,0,10
2023-09-05,13222258,0,10
2023-09-06,13328313,0,10
2023-09-07,13195660,0,10
2023-09-08,13235453,0,10
2023-09-11,13203757,0,10
2023-09-12,13410235,0,10
2023-09-13,13536967,0,10
2023-09-14,13891019,0,10
2023-09-15,14061877,0,10
2023-09-18,13967188,0,10
2023-09-19,13937351,0,10
2023-09-20,13694265,0,10
2023-09-21,13532814,0,10
2023-09-22,13809554,0,10
2023-09-25,13842532,0,10
2023-09-26,13718826,0,10
2023-09-27,13816191,0,10
2023-09-28,13729768,0,10
2023-10-02,14159595,0,10
2023-10-03,14233895,0,10
2023-10-04,14090582,0,10
2023-10-05,14305647,0,10
2023-10-06,14224957,0,10
2023-10-11,14238816,0,10
2023-10-12,14339501,0,10
2023-10-13,14355309,0,10
2023-10-16,14210536,0,10
2023-10-17,14193514,0,10
2023-10-18,13876082,0,10
2023-10-19,14109989,0,10
2023-10-20,14207621,0,10
2023-10-23,13936410,0,10
2023-10-24,13963812,0,10
2023-10-25,13959610,0,10
2023-10-26,13527583,0,10
2023-10-27,13464771,0,10
2023-10-30,13635480,0,10
2023-10-31,13362550,0,10
2023-11-01,13408047,0,10
2023-11-02,13780361,0,10
2023-11-03,13958392,0,10
2023-11-06,14138518,0,10
2023-11-07,14005664,0,10
2023-11-08,14079562,0,10
2023-11-09,14127002,0,10
2023-11-10,13922399,0,10
2023-11-13,14385740,0,10
2023-11-14,14507238,0,10
2023-11-15,14474241,0,10
2023-11-16,14535967,0,10
2023-11-17,14705832,0,10
2023-11-20,14723925,0,10
2023-11-21,15019243,0,10
2023-11-22,15122707,0,10
2023-11-23,15073233,0,10
2023-11-24,15073508,0,10
