date,equity,cash,n_positions
2022-05-03,557649,0,3
2022-05-04,557905,0,3
2022-05-05,560274,0,3
2022-05-06,552375,0,3
2022-05-09,534168,0,3
2022-05-10,546884,0,3
2022-05-11,549512,0,3
2022-05-12,539522,0,3
2022-05-13,553494,0,3
2022-05-16,550690,0,3
2022-05-17,558804,0,3
2022-05-18,565006,0,3
2022-05-19,559000,0,3
2022-05-20,557240,0,3
2022-05-23,549680,0,3
2022-05-24,532365,0,3
2022-05-25,538424,0,3
2022-05-26,513442,0,3
2022-05-27,520761,0,3
2022-05-30,536033,0,3
2022-05-31,542449,0,3
2022-06-01,548521,0,3
2022-06-02,529920,0,3
2022-06-06,526044,0,3
2022-06-07,523520,0,3
2022-06-08,543593,0,3
2022-06-09,551686,0,3
2022-06-10,557352,0,3
2022-06-13,538942,0,3
2022-06-14,537491,0,3
2022-06-15,535334,0,3
2022-06-16,521658,0,3
2022-06-17,518955,0,3
2022-06-20,516750,0,3
2022-06-21,541811,0,3
2022-06-22,507668,0,3
2022-06-23,482007,0,3
2022-06-24,471318,0,3
2022-06-27,483053,0,3
2022-06-28,473527,0,3
2022-06-29,467035,0,3
2022-06-30,456935,0,3
2022-07-01,426773,0,3
2022-07-04,416379,0,3
2022-07-05,423117,0,3
2022-07-06,406274,0,3
2022-07-07,422364,0,3
2022-07-08,432933,0,3
2022-07-11,430956,0,3
2022-07-12,416904,0,3
2022-07-13,425422,0,3
2022-07-14,434987,0,3
2022-07-15,457389,0,3
2022-07-18,468273,0,3
2022-07-19,468384,0,3
2022-07-20,482110,0,3
2022-07-21,493756,0,3
2022-07-22,492392,0,3
2022-07-25,493959,0,3
2022-07-26,486350,0,3
2022-07-27,495169,0,3
2022-07-28,476652,0,3
2022-07-29,477289,0,3
2022-08-01,462813,0,3
2022-08-02,459961,0,3
2022-08-03,464828,0,3
2022-08-04,455377,0,3
2022-08-05,460511,0,3
2022-08-08,457242,0,3
2022-08-09,459366,0,3
2022-08-10,457298,0,3
2022-08-11,468487,0,3
2022-08-12,471531,0,3
2022-08-15,477763,0,3
2022-08-16,483431,0,3
2022-08-17,480764,0,3
2022-08-18,484406,0,3
2022-08-19,480076,0,3
2022-08-22,470818,0,3
2022-08-23,472486,0,3
2022-08-24,472611,0,3
2022-08-25,484600,0,3
2022-08-26,486543,0,3
2022-08-29,485867,0,3
2022-08-30,488060,0,3
2022-08-31,497026,0,3
2022-09-01,494783,0,3
2022-09-02,500129,0,3
2022-09-05,487936,0,3
2022-09-06,485374,0,3
2022-09-07,490943,0,3
2022-09-08,508131,0,3
2022-09-12,535665,0,3
2022-09-13,541169,0,3
2022-09-14,541939,0,3
2022-09-15,540137,0,3
2022-09-16,525951,0,3
2022-09-19,519461,0,3
2022-09-20,523216,0,3
2022-09-21,516164,0,3
2022-09-22,530775,0,3
2022-09-23,511096,0,3
2022-09-26,493681,0,3
2022-09-27,497923,0,3
2022-09-28,476516,0,3
2022-09-29,482072,0,3
2022-09-30,493481,0,3
2022-10-03,481736,0,3
2022-10-04,495512,0,3
2022-10-05,506363,0,3
2022-10-06,511304,0,3
2022-10-07,508052,0,3
2022-10-11,470585,0,3
2022-10-12,471449,0,3
2022-10-13,460856,0,3
2022-10-14,478057,0,3
2022-10-17,479515,0,3
2022-10-18,480512,0,3
2022-10-19,483748,0,3
2022-10-20,472226,0,3
2022-10-21,467031,0,3
2022-10-24,476161,0,3
2022-10-25,473301,0,3
2022-10-26,468589,0,3
2022-10-27,476725,0,3
2022-10-28,484790,0,3
2022-10-31,490131,0,3
2022-11-01,487198,0,3
2022-11-02,492786,0,3
2022-11-03,491292,0,3
2022-11-04,494812,0,3
2022-11-07,511331,0,3
2022-11-08,514399,0,3
2022-11-09,537265,0,3
2022-11-10,544415,0,3
2022-11-11,569004,0,3
2022-11-14,566793,0,3
2022-11-15,584633,0,3
2022-11-16,586569,0,3
2022-11-17,578570,0,3
2022-11-18,573379,0,3
2022-11-21,567336,0,3
2022-11-22,566122,0,3
2022-11-23,572219,0,3
2022-11-24,582993,0,3
2022-11-25,576171,0,3
2022-11-28,567903,0,3
2022-11-29,574617,0,3
2022-11-30,584720,0,3
2022-12-01,589995,0,3
2022-12-02,590614,0,3
2022-12-05,588792,0,3
2022-12-06,578261,0,3
2022-12-07,562190,0,3
2022-12-08,561176,0,3
2022-12-09,552837,0,3
2022-12-12,536313,0,3
2022-12-13,528868,0,3
2022-12-14,544720,0,3
2022-12-15,539909,0,3
2022-12-16,530855,0,3
2022-12-19,526826,0,3
2022-12-20,509237,0,3
2022-12-21,512101,0,3
2022-12-22,512520,0,3
2022-12-23,500829,0,3
2022-12-26,489788,0,3
2022-12-27,493698,0,3
2022-12-28,477402,0,3
2022-12-29,484536,0,3
2022-12-30,481397,0,3
2023-01-03,494690,0,3
2023-01-04,499776,0,3
2023-01-05,499017,0,3
2023-01-06,501833,0,3
2023-01-09,510524,0,3
2023-01-10,511695,0,3
2023-01-11,496542,0,3
2023-01-12,505276,0,3
2023-01-13,507761,0,3
2023-01-16,514071,0,3
2023-01-17,509981,0,3
2023-01-30,530804,0,3
2023-01-31,521292,0,3
2023-02-01,535273,0,3
2023-02-02,550188,0,3
2023-02-03,557245,0,3
2023-02-06,542143,0,3
2023-02-07,545612,0,3
2023-02-08,563013,0,3
2023-02-09,565756,0,3
2023-02-10,557454,0,3
2023-02-13,549798,0,3
2023-02-14,544717,0,3
2023-02-15,539957,0,3
2023-02-16,552699,0,3
2023-02-17,543075,0,3
2023-02-20,539871,0,3
2023-02-21,538811,0,3
2023-02-22,527378,0,3
2023-02-23,533279,0,3
2023-02-24,521894,0,3
2023-03-01,536142,0,3
2023-03-02,530145,0,3
2023-03-03,534066,0,3
2023-03-06,537553,0,3
2023-03-07,540915,0,3
2023-03-08,550684,0,3
2023-03-09,562152,0,3
2023-03-10,545628,0,3
2023-03-13,549842,0,3
2023-03-14,545674,0,3
2023-03-15,557232,0,3
2023-03-16,571272,0,3
2023-03-17,593456,0,3
2023-03-20,598782,0,3
2023-03-21,607946,0,3
2023-03-22,614120,0,3
2023-03-23,619595,0,3
2023-03-24,609577,0,3
2023-03-27,599600,0,3
2023-03-28,580588,0,3
2023-03-29,584429,0,3
2023-03-30,591143,0,3
2023-03-31,600425,0,3
2023-04-06,589709,0,3
2023-04-07,597261,0,3
2023-04-10,606808,0,3
2023-04-11,607411,0,3
2023-04-12,603697,0,3
2023-04-13,588776,0,3
2023-04-14,601031,0,3
2023-04-17,600427,0,3
2023-04-18,586997,0,3
2023-04-19,583191,0,3
2023-04-20,584779,0,3
2023-04-21,567964,0,3
2023-04-24,562710,0,3
2023-04-25,549050,0,3
2023-04-26,549444,0,3
2023-04-27,553762,0,3
2023-04-28,569970,0,3
2023-05-02,577182,0,3
2023-05-03,569256,0,3
2023-05-04,576626,0,3
2023-05-05,587802,0,3
2023-05-08,599668,0,3
2023-05-09,600904,0,3
2023-05-10,608255,0,3
2023-05-11,592722,0,3
2023-05-12,610742,0,3
2023-05-15,603826,0,3
2023-05-16,621907,0,3
2023-05-17,637113,0,3
2023-05-18,641233,0,3
2023-05-19,668976,0,3
2023-05-22,650848,0,3
2023-05-23,663520,0,3
2023-05-24,654673,0,3
2023-05-25,677810,0,3
2023-05-26,699135,0,3
2023-05-29,732444,0,3
2023-05-30,731917,0,3
2023-05-31,724802,0,3
2023-06-01,729010,0,3
2023-06-02,728771,0,3
2023-06-05,719312,0,3
2023-06-06,728118,0,3
2023-06-07,746068,0,3
2023-06-08,720773,0,3
2023-06-09,734067,0,3
2023-06-12,746997,0,3
2023-06-13,779063,0,3
2023-06-14,768454,0,3
2023-06-15,778824,0,3
2023-06-16,781663,0,3
2023-06-19,779292,0,3
2023-06-20,777687,0,3
2023-06-21,768831,0,3
2023-06-26,757095,0,3
2023-06-27,740520,0,3
2023-06-28,738562,0,3
2023-06-29,745828,0,3
2023-06-30,721398,0,3
2023-07-03,752275,0,3
2023-07-04,781846,0,3
2023-07-05,771846,0,3
2023-07-06,776631,0,3
2023-07-07,757350,0,3
2023-07-10,752084,0,3
2023-07-11,761589,0,3
2023-07-12,782460,0,3
2023-07-13,781158,0,3
2023-07-14,803483,0,3
2023-07-17,786826,0,3
2023-07-18,788220,0,3
2023-07-19,811798,0,3
2023-07-20,811901,0,3
2023-07-21,824703,0,3
2023-07-24,810303,0,3
2023-07-25,806232,0,3
2023-07-26,793668,0,3
2023-07-27,786925,0,3
2023-07-28,815356,0,3
2023-07-31,776189,0,3
2023-08-01,772164,0,3
2023-08-02,741157,0,3
2023-08-04,734721,0,3
2023-08-07,778655,0,3
2023-08-08,788602,0,3
2023-08-09,781013,0,3
2023-08-10,741508,0,3
2023-08-11,738476,0,3
2023-08-14,727788,0,3
2023-08-15,740135,0,3
2023-08-16,744292,0,3
2023-08-17,739658,0,3
2023-08-18,725232,0,3
2023-08-21,731327,0,3
2023-08-22,774827,0,3
2023-08-23,801318,0,3
2023-08-24,829800,0,3
2023-08-25,827319,0,3
2023-08-28,806717,0,3
2023-08-29,811184,0,3
2023-08-30,831556,0,3
2023-08-31,816279,0,3
2023-09-01,811135,0,3
2023-09-04,821371,0,3
2023-09-05,823033,0,3
2023-09-06,830260,0,3
2023-09-07,822776,0,3
2023-09-08,814017,0,3
2023-09-11,798672,0,3
2023-09-12,821938,0,3
2023-09-13,820008,0,3
2023-09-14,835219,0,3
2023-09-15,845727,0,3
2023-09-18,842547,0,3
2023-09-19,843180,0,3
2023-09-20,806793,0,3
2023-09-21,784604,0,3
2023-09-22,810286,0,3
2023-09-25,815899,0,3
2023-09-26,811734,0,3
2023-09-27,813458,0,3
2023-09-28,808698,0,3
2023-10-02,846959,0,3
2023-10-03,865613,0,3
2023-10-04,861402,0,3
2023-10-05,875822,0,3
2023-10-06,865289,0,3
2023-10-11,853569,0,3
2023-10-12,867755,0,3
2023-10-13,872323,0,3
2023-10-16,865266,0,3
2023-10-17,850702,0,3
2023-10-18,820889,0,3
2023-10-19,851373,0,3
2023-10-20,852273,0,3
2023-10-23,830614,0,3
2023-10-24,831563,0,3
2023-10-25,829903,0,3
2023-10-26,814273,0,3
2023-10-27,818930,0,3
2023-10-30,826629,0,3
2023-10-31,810388,0,3
2023-11-01,825511,0,3
2023-11-02,853870,0,3
2023-11-03,873424,0,3
2023-11-06,881661,0,3
2023-11-07,873990,0,3
2023-11-08,878885,0,3
2023-11-09,905087,0,3
2023-11-10,897015,0,3
2023-11-13,914714,0,3
2023-11-14,919624,0,3
2023-11-15,908667,0,3
2023-11-16,903243,0,3
2023-11-17,919043,0,3
2023-11-20,915935,0,3
2023-11-21,920062,0,3
2023-11-22,924591,0,3
2023-11-23,916824,0,3
2023-11-24,912832,0,3
2023-11-27,894691,0,3
2023-11-28,920087,0,3
2023-11-29,913668,0,3
2023-11-30,920287,0,3
2023-12-01,919041,0,3
2023-12-04,912396,0,3
2023-12-05,899522,0,3
2023-12-06,896254,0,3
2023-12-07,892811,0,3
2023-12-08,909347,0,3
2023-12-11,932535,0,3
2023-12-12,934926,0,3
2023-12-13,951207,0,3
2023-12-14,944142,0,3
2023-12-15,950585,0,3
2023-12-18,940482,0,3
2023-12-19,940152,0,3
2023-12-20,931735,0,3
2023-12-21,940849,0,3
2023-12-22,950145,0,3
2023-12-25,949490,0,3
2023-12-26,958024,0,3
2023-12-27,963329,0,3
2023-12-28,954868,0,3
2023-12-29,953227,0,3
2024-01-02,958850,0,3
2024-01-03,941643,0,3
2024-01-04,927206,0,3
2024-01-05,925039,0,3
2024-01-08,931698,0,3
2024-01-09,956615,0,3
2024-01-10,958298,0,3
2024-01-11,981172,0,3
2024-01-12,974539,0,3
2024-01-15,983887,0,3
2024-01-16,950470,0,3
2024-01-17,957706,0,3
2024-01-18,968545,0,3
2024-01-19,985598,0,3
2024-01-22,995460,0,3
2024-01-23,989178,0,3
2024-01-24,971535,0,3
2024-01-25,979376,0,3
2024-01-26,999242,0,3
2024-01-29,1009925,0,3
2024-01-30,1019157,0,3
2024-01-31,1018415,0,3
2024-02-01,1018206,0,3
2024-02-02,1027811,0,3
2024-02-05,1034542,0,3
2024-02-15,1117256,0,3
2024-02-16,1089179,0,3
