date,equity,cash,n_positions
2023-03-17,8030249,0,9
2023-03-20,8087043,0,9
2023-03-21,8172119,0,9
2023-03-22,8258047,0,9
2023-03-23,8351270,0,9
2023-03-24,8296927,0,9
2023-03-27,8210178,0,9
2023-03-28,8044796,0,9
2023-03-29,8070704,0,9
2023-03-30,8156686,0,9
2023-03-31,8227671,0,9
2023-04-06,8131346,0,9
2023-04-07,8195127,0,9
2023-04-10,8210959,0,9
2023-04-11,8256765,0,9
2023-04-12,8237058,0,9
2023-04-13,8067416,0,9
2023-04-14,8172836,0,9
2023-04-17,8156658,0,9
2023-04-18,7994299,0,9
2023-04-19,7951731,0,9
2023-04-20,7975026,0,9
2023-04-21,7718913,0,9
2023-04-24,7712803,0,9
2023-04-25,7500164,0,9
2023-04-26,7569104,0,9
2023-04-27,7641963,0,9
2023-04-28,7808152,0,9
2023-05-02,7851458,0,9
2023-05-03,7807459,0,9
2023-05-04,7877332,0,9
2023-05-05,7933340,0,9
2023-05-08,7977752,0,9
2023-05-09,7977265,0,9
2023-05-10,8050616,0,9
2023-05-11,7907840,0,9
2023-05-12,8076556,0,9
2023-05-15,8000505,0,9
2023-05-16,8200085,0,9
2023-05-17,8387118,0,9
2023-05-18,8462409,0,9
2023-05-19,8707136,0,9
2023-05-22,8493118,0,9
2023-05-23,8653884,0,9
2023-05-24,8563050,0,9
2023-05-25,8843424,0,9
2023-05-26,9041418,0,9
2023-05-29,9228569,0,9
2023-05-30,9278728,0,9
2023-05-31,9286366,0,9
2023-06-01,9248137,0,9
2023-06-02,9275258,0,9
2023-06-05,9205932,0,9
2023-06-06,9262308,0,9
2023-06-07,9402845,0,9
2023-06-08,9155928,0,9
2023-06-09,9315398,0,9
2023-06-12,9370823,0,9
2023-06-13,9828967,0,9
2023-06-14,9742367,0,9
2023-06-15,9871732,0,9
2023-06-16,9872367,0,9
2023-06-19,9821810,0,9
2023-06-20,9795966,0,9
2023-06-21,9712250,0,9
2023-06-26,9664697,0,9
2023-06-27,9486695,0,9
2023-06-28,9454799,0,9
2023-06-29,9564691,0,9
2023-06-30,9466890,0,9
2023-07-03,9797387,0,9
2023-07-04,10016590,0,9
2023-07-05,9843252,0,9
2023-07-06,9810732,0,9
2023-07-07,9695794,0,9
2023-07-10,9658838,0,9
2023-07-11,9739180,0,9
2023-07-12,9942645,0,9
2023-07-13,10028048,0,9
2023-07-14,10333440,0,9
2023-07-17,10319755,0,9
2023-07-18,10405870,0,9
2023-07-19,10592478,0,9
2023-07-20,10481692,0,9
2023-07-21,10529328,0,9
2023-07-24,10353825,0,9
2023-07-25,10392687,0,9
2023-07-26,10285496,0,9
2023-07-27,10166212,0,9
2023-07-28,10377488,0,9
2023-07-31,9959284,0,9
2023-08-01,9893996,0,9
2023-08-02,9531463,0,9
